Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
10/31/19 8:00,Central Los Angeles,1.4,1-hr,pphm,9,N/A
10/31/19 9:00,Central Los Angeles,2.9,1-hr,pphm,9,N/A
10/31/19 10:00,Central Los Angeles,3.1,1-hr,pphm,9,N/A
10/31/19 11:00,Central Los Angeles,4,1-hr,pphm,9,N/A
10/31/19 12:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/31/19 13:00,Central Los Angeles,4.4,1-hr,pphm,9,N/A
10/31/19 14:00,Central Los Angeles,4.2,1-hr,pphm,9,N/A
10/31/19 15:00,Central Los Angeles,4.1,1-hr,pphm,9,N/A
10/31/19 16:00,Central Los Angeles,3.3,1-hr,pphm,9,N/A
10/31/19 17:00,Central Los Angeles,1.5,1-hr,pphm,9,N/A
10/31/19 18:00,Central Los Angeles,0.3,1-hr,pphm,9,N/A
10/31/19 19:00,Central Los Angeles,0.7,1-hr,pphm,9,N/A
10/31/19 20:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/31/19 21:00,Central Los Angeles,0.6,1-hr,pphm,9,N/A
10/31/19 22:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
10/31/19 23:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
11/1/19 0:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
11/1/19 1:00,Central Los Angeles,0.4,1-hr,pphm,9,N/A
11/1/19 2:00,Central Los Angeles,0.8,1-hr,pphm,9,N/A
11/1/19 3:00,Central Los Angeles,1,1-hr,pphm,9,N/A
11/1/19 4:00,Central Los Angeles,0.5,1-hr,pphm,9,N/A
